,Metropolitan/Nonmetropolitan,County,Total_Employees,Total_Officers,Total_Civilians,Total_Crime,Total_Crime_Rank
53,Nonmetropolitan Counties,Sierra,14.0,10.0,4.0,34.0,1.0
54,Nonmetropolitan Counties,Siskiyou,99.0,78.0,21.0,197.0,2.0
18,Metropolitan Counties,San Benito,53.0,25.0,28.0,214.0,3.0
56,Nonmetropolitan Counties,Trinity,42.0,34.0,8.0,221.0,4.0
47,Nonmetropolitan Counties,Mariposa,72.0,58.0,14.0,357.0,6.0
13,Metropolitan Counties,Napa,132.0,103.0,29.0,357.0,6.0
35,Metropolitan Counties,Yolo,262.0,91.0,171.0,396.0,7.0
55,Nonmetropolitan Counties,Tehama,115.0,83.0,32.0,416.0,8.0
29,Metropolitan Counties,Solano,481.0,123.0,358.0,505.0,9.0
48,Nonmetropolitan Counties,Mendocino,162.0,117.0,45.0,775.0,10.0
10,Metropolitan Counties,Marin,293.0,194.0,99.0,841.0,11.0
51,Nonmetropolitan Counties,Nevada,155.0,59.0,96.0,855.0,12.0
34,Metropolitan Counties,Ventura,1242.0,732.0,510.0,1018.0,13.0
36,Metropolitan Counties,Yuba,168.0,126.0,42.0,1450.0,14.0
14,Metropolitan Counties,Orange,3602.0,1778.0,1824.0,1478.0,15.0
12,Metropolitan Counties,Monterey,403.0,291.0,112.0,1490.0,16.0
9,Metropolitan Counties,Madera,104.0,75.0,29.0,1586.0,17.0
26,Metropolitan Counties,Santa Clara,1613.0,1206.0,407.0,1590.0,18.0
28,Metropolitan Counties,Shasta,210.0,142.0,68.0,1655.0,19.0
25,Metropolitan Counties,Santa Barbara,610.0,442.0,168.0,1942.0,20.0
15,Metropolitan Counties,Placer,471.0,233.0,238.0,1958.0,21.0
11,Metropolitan Counties,Merced,210.0,82.0,128.0,2037.0,22.0
30,Metropolitan Counties,Sonoma,593.0,231.0,362.0,2106.0,23.0
27,Metropolitan Counties,Santa Cruz,299.0,143.0,156.0,2230.0,24.0
2,Metropolitan Counties,Contra Costa,936.0,610.0,326.0,2439.0,25.0
31,Metropolitan Counties,Stanislaus,582.0,432.0,150.0,2517.0,26.0
0,Metropolitan Counties,Alameda,1560.0,978.0,582.0,2587.0,27.0
24,Metropolitan Counties,San Mateo,662.0,308.0,354.0,3126.0,28.0
22,Metropolitan Counties,San Joaquin,702.0,280.0,422.0,4409.0,29.0
4,Metropolitan Counties,Fresno,1043.0,406.0,637.0,4772.0,30.0
20,Metropolitan Counties,San Diego,4127.0,2558.0,1569.0,5945.0,31.0
19,Metropolitan Counties,San Bernardino,3247.0,1824.0,1423.0,6447.0,32.0
16,Metropolitan Counties,Riverside,4088.0,2049.0,2039.0,8565.0,33.0
6,Metropolitan Counties,Kern,1181.0,868.0,313.0,12138.0,34.0
17,Metropolitan Counties,Sacramento,1906.0,1249.0,657.0,14281.0,35.0
8,Metropolitan Counties,Los Angeles,16582.0,9146.0,7436.0,21474.0,36.0
49,Nonmetropolitan Counties,Modoc,23.0,14.0,9.0,,58.0
50,Nonmetropolitan Counties,Mono,40.0,22.0,18.0,,58.0
23,Metropolitan Counties,San Luis Obispo,385.0,282.0,103.0,,58.0
52,Nonmetropolitan Counties,Plumas,60.0,32.0,28.0,,58.0
7,Metropolitan Counties,Kings,258.0,77.0,181.0,,58.0
3,Metropolitan Counties,El Dorado,349.0,164.0,185.0,,58.0
1,Metropolitan Counties,Butte,288.0,101.0,187.0,,58.0
5,Metropolitan Counties,Imperial,283.0,190.0,93.0,,58.0
46,Nonmetropolitan Counties,Lassen,82.0,59.0,23.0,,58.0
42,Nonmetropolitan Counties,Glenn,56.0,20.0,36.0,,58.0
44,Nonmetropolitan Counties,Inyo,71.0,37.0,34.0,,58.0
43,Nonmetropolitan Counties,Humboldt,224.0,177.0,47.0,,58.0
41,Nonmetropolitan Counties,Del Norte,53.0,25.0,28.0,,58.0
40,Nonmetropolitan Counties,Colusa,59.0,28.0,31.0,,58.0
39,Nonmetropolitan Counties,Calaveras,92.0,45.0,47.0,,58.0
38,Nonmetropolitan Counties,Amador,100.0,55.0,45.0,,58.0
37,Nonmetropolitan Counties,Alpine,16.0,13.0,3.0,,58.0
33,Metropolitan Counties,Tulare,779.0,544.0,235.0,,58.0
32,Metropolitan Counties,Sutter,130.0,111.0,19.0,,58.0
21,Metropolitan Counties,San Francisco,960.0,807.0,153.0,,58.0
45,Nonmetropolitan Counties,Lake,135.0,51.0,84.0,,58.0
57,Nonmetropolitan Counties,Tuolumne,129.0,62.0,67.0,,58.0
